1
533.1000,198.2700,541.0800,190.2200,568.1700,217.0500,560.1900,225.1100
535.0000,210.0000,556.0000,210.0000,556.0000,231.0000,535.0000,231.0000
534.0000,218.0000,554.0000,218.0000,554.0000,239.0000,534.0000,239.0000
532.0000,225.0000,552.0000,225.0000,552.0000,246.0000,532.0000,246.0000
530.0000,232.0000,550.0000,232.0000,550.0000,252.0000,530.0000,252.0000
529.0000,239.0000,549.0000,239.0000,549.0000,259.0000,529.0000,259.0000
529.0000,246.0000,549.0000,246.0000,549.0000,265.0000,529.0000,265.0000
531.0000,251.0000,550.0000,251.0000,550.0000,270.0000,531.0000,270.0000
534.0000,256.0000,552.0000,256.0000,552.0000,275.0000,534.0000,275.0000
538.0000,259.0000,556.0000,259.0000,556.0000,277.0000,538.0000,277.0000
544.0000,261.0000,561.0000,261.0000,561.0000,279.0000,544.0000,279.0000
552.0000,264.0000,569.0000,264.0000,569.0000,281.0000,552.0000,281.0000
560.0000,266.0000,578.0000,266.0000,578.0000,283.0000,560.0000,283.0000
569.0000,269.0000,587.0000,269.0000,587.0000,287.0000,569.0000,287.0000
580.0000,271.0000,597.0000,271.0000,597.0000,288.0000,580.0000,288.0000
591.0000,272.0000,608.0000,272.0000,608.0000,289.0000,591.0000,289.0000
603.0000,273.0000,620.0000,273.0000,620.0000,290.0000,603.0000,290.0000
613.0000,275.0000,630.0000,275.0000,630.0000,292.0000,613.0000,292.0000
623.0000,277.0000,640.0000,277.0000,640.0000,294.0000,623.0000,294.0000
632.0000,279.0000,649.0000,279.0000,649.0000,296.0000,632.0000,296.0000
641.0000,282.0000,658.0000,282.0000,658.0000,299.0000,641.0000,299.0000
648.0000,284.0000,666.0000,284.0000,666.0000,302.0000,648.0000,302.0000
656.0000,286.0000,674.0000,286.0000,674.0000,304.0000,656.0000,304.0000
661.0000,288.0000,679.0000,288.0000,679.0000,305.0000,661.0000,305.0000
661.0000,286.0000,678.0000,286.0000,678.0000,304.0000,661.0000,304.0000
662.0000,285.0000,679.0000,285.0000,679.0000,302.0000,662.0000,302.0000
675.0000,290.0000,692.0000,290.0000,692.0000,307.0000,675.0000,307.0000
680.0000,290.0000,698.0000,290.0000,698.0000,308.0000,680.0000,308.0000
684.0000,290.0000,702.0000,290.0000,702.0000,308.0000,684.0000,308.0000
688.0000,289.0000,706.0000,289.0000,706.0000,308.0000,688.0000,308.0000
691.0000,288.0000,709.0000,288.0000,709.0000,306.0000,691.0000,306.0000
694.0000,286.0000,713.0000,286.0000,713.0000,305.0000,694.0000,305.0000
697.0000,284.0000,716.0000,284.0000,716.0000,303.0000,697.0000,303.0000
701.0000,282.0000,720.0000,282.0000,720.0000,301.0000,701.0000,301.0000
704.0000,279.0000,723.0000,279.0000,723.0000,298.0000,704.0000,298.0000
708.0000,276.0000,727.0000,276.0000,727.0000,295.0000,708.0000,295.0000
714.0000,272.0000,733.0000,272.0000,733.0000,291.0000,714.0000,291.0000
721.0000,268.0000,739.0000,268.0000,739.0000,287.0000,721.0000,287.0000
728.0000,264.0000,746.0000,264.0000,746.0000,282.0000,728.0000,282.0000
737.0000,259.0000,756.0000,259.0000,756.0000,277.0000,737.0000,277.0000
747.0000,255.0000,765.0000,255.0000,765.0000,272.0000,747.0000,272.0000
758.0000,250.0000,776.0000,250.0000,776.0000,268.0000,758.0000,268.0000
771.0000,246.0000,789.0000,246.0000,789.0000,264.0000,771.0000,264.0000
